    conteudo.puzzle_game.xǁPuzzleGameǁ__generate_list_of_tiles____mutmut_3: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__generate_list_of_tiles____mutmut_12: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_13: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_25: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_26: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_the_board____mutmut_27: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_dic_positions____mutmut_20: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__put_tiles_in_dic_positions____mutmut_21: survived
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_17: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_18: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_19: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_20: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_21: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_22: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_23: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_24: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_25: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_up____mutmut_26: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_14: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_17: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_18: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_19: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_20: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_21: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_22: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_23: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_24: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_25: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_right____mutmut_26: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_14: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_17: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_18: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_19: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_20: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_21: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_22: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_23: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_24: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_25: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__move_empty_cell_to_left____mutmut_26: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_14: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁmove_empty_tile__mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_2: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_3: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_4: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_5: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_6: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_7: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_8: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_9: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_10: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_11: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_12: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_13: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_14: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_15: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_16: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_17: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_18: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_19: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_20: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁ__print_board_of_puzzle_game____mutmut_21: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁend_of_the_game__mutmut_1: no tests
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_2: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_3: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_4: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_6: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_7: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_9: survived
    conteudo.puzzle_game.xǁPuzzleGameǁget_tile__mutmut_10: survived
